year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2018,1,8.98,5.48,0.87,1.66,57312,83.706,89.883,13,116,57312,117
2018,1,10.30,-0.59,0.69,2.03,57312,83.706,89.883,13,116,57312,117
2018,1,11.31,0.47,1.32,4.11,57312,83.706,89.883,13,116,57312,117
2018,1,10.30,-0.39,2.01,5.58,57312,83.706,89.883,13,116,57312,117
2018,1,7.49,1.45,1.51,5.78,57312,83.706,89.883,13,116,57312,117
2018,1,5.39,-3.77,1.25,2.39,57312,83.706,89.883,13,116,57312,117
2018,1,7.17,-4.91,0.42,2.07,57312,83.706,89.883,13,116,57312,117
2018,1,7.62,-3.25,0.74,1.76,57312,83.706,89.883,13,116,57312,117
2018,1,7.63,-4.58,0.44,1.31,57312,83.706,89.883,13,116,57312,117
2018,1,6.89,-5.87,0.18,0.56,57312,83.706,89.883,13,116,57312,117
2018,1,6.26,-3.23,0.36,1.13,57312,83.706,89.883,13,116,57312,117
2018,1,6.78,-2.85,0.23,0.90,57312,83.706,89.883,13,116,57312,117
2018,1,6.64,-3.44,0.15,0.79,57312,83.706,89.883,13,116,57312,117
2018,1,6.45,-5.54,0.11,0.44,57312,83.706,89.883,13,116,57312,117
2018,1,5.85,-5.50,0.26,0.29,57312,83.706,89.883,13,116,57312,117
2018,1,5.24,-5.09,0.14,0.12,57312,83.706,89.883,13,116,57312,117
2018,1,4.88,-4.80,0.13,0.16,57312,83.706,89.883,13,116,57312,117
2018,1,4.82,-4.79,0.24,0.24,57312,83.706,89.883,13,116,57312,117
2018,1,4.61,-3.59,0.23,1.71,57312,83.706,89.883,13,116,57312,117
2018,1,4.96,0.13,0.29,0.63,57312,83.706,89.883,13,116,57312,117
2018,1,5.20,1.94,0.19,1.33,57312,83.706,89.883,13,116,57312,117
2018,1,5.11,2.94,0.18,0.80,57312,83.706,89.883,13,116,57312,117
2018,1,4.32,1.56,0.92,2.53,57312,83.706,89.883,13,116,57312,117
2018,1,4.56,0.35,0.37,2.28,57312,83.706,89.883,13,116,57312,117
2018,1,4.52,-0.53,0.31,1.77,57312,83.706,89.883,13,116,57312,117
2018,1,3.60,-0.74,0.46,1.15,57312,83.706,89.883,13,116,57312,117
2018,1,4.28,-1.70,0.45,1.32,57312,83.706,89.883,13,116,57312,117
2018,1,2.87,-0.45,0.60,1.79,57312,83.706,89.883,13,116,57312,117
2018,1,3.03,-2.44,0.40,0.87,57312,83.706,89.883,13,116,57312,117
2018,1,3.14,-2.81,0.29,0.35,57312,83.706,89.883,13,116,57312,117
2018,1,3.27,1.52,0.48,0.85,57312,83.706,89.883,13,116,57312,117
2018,1,3.46,-1.38,0.38,1.33,57312,83.706,89.883,13,116,57312,117
2018,1,3.65,-3.22,0.79,1.22,57312,83.706,89.883,13,116,57312,117
2018,1,4.00,-3.07,0.61,0.87,57312,83.706,89.883,13,116,57312,117
2018,1,4.54,-4.14,1.07,1.01,57312,83.706,89.883,13,116,57312,117
2018,1,5.81,-5.31,0.41,0.55,57312,83.706,89.883,13,116,57312,117
2018,1,5.02,-3.13,0.82,2.56,57312,83.706,89.883,13,116,57312,117
2018,1,3.59,-2.24,0.68,2.06,57312,83.706,89.883,13,116,57312,117
2018,1,3.45,-1.92,0.40,1.20,57312,83.706,89.883,13,116,57312,117
2018,1,4.22,-0.40,0.50,1.69,57312,83.706,89.883,13,116,57312,117
2018,1,4.45,-1.99,0.45,1.80,57312,83.706,89.883,13,116,57312,117
2018,1,4.09,3.32,0.17,0.41,57312,83.706,89.883,13,116,57312,117
2018,1,4.13,3.38,0.22,0.33,57312,83.706,89.883,13,116,57312,117
2018,1,3.35,2.88,0.23,0.30,57312,83.706,89.883,13,116,57312,117
2018,1,3.36,2.65,0.23,0.55,57312,83.706,89.883,13,116,57312,117
2018,1,3.71,0.20,0.66,0.80,57312,83.706,89.883,13,116,57312,117
2018,1,3.24,0.42,0.49,1.58,57312,83.706,89.883,13,116,57312,117
2018,1,3.70,-1.17,0.21,1.07,57312,83.706,89.883,13,116,57312,117
2018,1,3.79,-0.04,0.20,1.21,57312,83.706,89.883,13,116,57312,117
2018,1,4.11,1.20,0.21,1.02,57312,83.706,89.883,13,116,57312,117
2018,1,3.21,0.58,0.33,0.72,57312,83.706,89.883,13,116,57312,117
2018,1,3.87,0.84,0.36,1.19,57312,83.706,89.883,13,116,57312,117
2018,1,3.42,-1.17,0.65,0.57,57312,83.706,89.883,13,116,57312,117
2018,1,2.74,-1.78,0.25,0.23,57312,83.706,89.883,13,116,57312,117
2018,1,2.67,-0.64,0.74,0.66,57312,83.706,89.883,13,116,57312,117
2018,1,4.98,-0.30,0.78,1.91,57312,83.706,89.883,13,116,57312,117
2018,1,5.22,-2.76,0.29,0.67,57312,83.706,89.883,13,116,57312,117
2018,1,4.19,-2.77,0.42,0.39,57312,83.706,89.883,13,116,57312,117
2018,1,4.81,-3.69,0.29,0.71,57312,83.706,89.883,13,116,57312,117
2018,1,4.11,-3.60,0.42,0.40,57312,83.706,89.883,13,116,57312,117
2018,1,3.64,-2.74,0.48,0.59,57312,83.706,89.883,13,116,57312,117
2018,1,2.99,-1.10,0.44,1.72,57312,83.706,89.883,13,116,57312,117
2018,1,4.04,-2.35,0.46,0.79,57312,83.706,89.883,13,116,57312,117
2018,1,3.48,-1.69,0.36,0.65,57312,83.706,89.883,13,116,57312,117
2018,1,3.93,-0.64,0.37,1.73,57312,83.706,89.883,13,116,57312,117
2018,1,4.34,-3.27,0.43,0.57,57312,83.706,89.883,13,116,57312,117
2018,1,4.40,-2.99,0.30,0.61,57312,83.706,89.883,13,116,57312,117
2018,1,4.16,-2.75,0.24,0.73,57312,83.706,89.883,13,116,57312,117
2018,1,4.46,-3.91,0.22,0.33,57312,83.706,89.883,13,116,57312,117
2018,1,3.78,-3.47,0.10,0.23,57312,83.706,89.883,13,116,57312,117
2018,1,4.26,-3.73,0.35,0.63,57312,83.706,89.883,13,116,57312,117
2018,1,4.67,-4.32,0.17,0.12,57312,83.706,89.883,13,116,57312,117
2018,1,4.74,-4.15,0.15,0.24,57312,83.706,89.883,13,116,57312,117
2018,1,4.52,-3.26,0.18,0.35,57312,83.706,89.883,13,116,57312,117
2018,1,4.26,-1.68,0.27,0.69,57312,83.706,89.883,13,116,57312,117
2018,1,4.14,1.20,0.26,2.54,57312,83.706,89.883,13,116,57312,117
2018,1,3.67,0.81,0.41,1.76,57312,83.706,89.883,13,116,57312,117
2018,1,3.19,-0.17,0.64,2.25,57312,83.706,89.883,13,116,57312,117
2018,1,3.46,-1.25,0.41,1.11,57312,83.706,89.883,13,116,57312,117
2018,1,3.45,-2.48,0.13,0.39,57312,83.706,89.883,13,116,57312,117
2018,1,3.51,-2.43,0.09,0.21,57312,83.706,89.883,13,116,57312,117
2018,1,3.89,-3.22,0.18,0.26,57312,83.706,89.883,13,116,57312,117
2018,1,3.51,-2.89,0.35,0.38,57312,83.706,89.883,13,116,57312,117
2018,1,2.59,-2.36,0.09,0.18,57312,83.706,89.883,13,116,57312,117
2018,1,2.36,-2.29,0.09,0.10,57312,83.706,89.883,13,116,57312,117
2018,1,2.39,-2.29,0.30,0.23,57312,83.706,89.883,13,116,57312,117
2018,1,2.59,-2.38,0.44,0.30,57312,83.706,89.883,13,116,57312,117
2018,1,3.62,-1.82,0.24,2.13,57312,83.706,89.883,13,116,57312,117
2018,1,3.59,2.59,0.12,0.37,57312,83.706,89.883,13,116,57312,117
2018,1,3.32,1.53,0.19,0.32,57312,83.706,89.883,13,116,57312,117
2018,1,3.44,-1.69,0.15,1.63,57312,83.706,89.883,13,116,57312,117
2018,1,3.22,-2.06,0.07,0.77,57312,83.706,89.883,13,116,57312,117
2018,1,2.68,-0.14,0.46,0.62,57312,83.706,89.883,13,116,57312,117
2018,1,2.69,-0.85,0.21,1.56,57312,83.706,89.883,13,116,57312,117
2018,1,2.92,-2.05,0.34,0.49,57312,83.706,89.883,13,116,57312,117
2018,1,3.38,-1.78,0.42,1.57,57312,83.706,89.883,13,116,57312,117
2018,1,4.07,1.05,0.16,0.66,57312,83.706,89.883,13,116,57312,117
2018,1,4.08,0.16,0.16,1.19,57312,83.706,89.883,13,116,57312,117
2018,1,3.67,-0.47,0.13,1.02,57312,83.706,89.883,13,116,57312,117
2018,1,3.51,-1.49,0.13,1.19,57312,83.706,89.883,13,116,57312,117
2018,1,3.76,-0.67,0.15,0.70,57312,83.706,89.883,13,116,57312,117
2018,1,3.66,-0.30,0.12,0.46,57312,83.706,89.883,13,116,57312,117
2018,1,3.39,-0.46,0.14,0.81,57312,83.706,89.883,13,116,57312,117
2018,1,3.23,-1.65,0.22,0.70,57312,83.706,89.883,13,116,57312,117
2018,1,2.46,-0.85,0.25,0.67,57312,83.706,89.883,13,116,57312,117
2018,1,2.63,0.38,0.26,0.60,57312,83.706,89.883,13,116,57312,117
2018,1,2.14,0.52,0.57,0.97,57312,83.706,89.883,13,116,57312,117
2018,1,1.05,0.15,0.66,0.61,57312,83.706,89.883,13,116,57312,117
2018,1,2.69,1.44,0.69,0.72,57312,83.706,89.883,13,116,57312,117
2018,1,1.54,-0.55,0.86,0.86,57312,83.706,89.883,13,116,57312,117
2018,1,1.01,-0.77,0.32,0.44,57312,83.706,89.883,13,116,57312,117
2018,1,1.32,-1.19,0.30,0.28,57312,83.706,89.883,13,116,57312,117
2018,1,2.10,-1.42,0.10,0.27,57312,83.706,89.883,13,116,57312,117
2018,1,1.96,-1.79,0.15,0.29,57312,83.706,89.883,13,116,57312,117
2018,1,1.87,-0.88,0.48,0.39,57312,83.706,89.883,13,116,57312,117
2018,1,2.85,-0.30,0.36,0.29,57312,83.706,89.883,13,116,57312,117
2018,1,2.73,0.50,0.60,0.19,57312,83.706,89.883,13,116,57312,117
2018,1,1.48,-0.07,0.28,0.50,57312,83.706,89.883,13,116,57312,117
2018,1,1.28,-0.75,0.22,0.34,57312,83.706,89.883,13,116,57312,117
2018,1,1.21,-0.81,0.29,0.63,57312,83.706,89.883,13,116,57312,117
2018,1,2.10,1.66,0.88,0.74,57312,83.706,89.883,13,116,57312,117
2018,1,3.08,2.51,0.25,0.24,57312,83.706,89.883,13,116,57312,117
2018,1,3.36,1.79,0.21,0.33,57312,83.706,89.883,13,116,57312,117
2018,1,3.43,2.22,0.14,0.84,57312,83.706,89.883,13,116,57312,117
2018,1,3.66,2.26,0.13,0.63,57312,83.706,89.883,13,116,57312,117
2018,1,3.97,0.66,0.11,0.52,57312,83.706,89.883,13,116,57312,117
2018,1,4.10,0.68,0.14,0.59,57312,83.706,89.883,13,116,57312,117
2018,1,4.05,1.13,0.09,0.39,57312,83.706,89.883,13,116,57312,117
2018,1,4.25,1.67,0.09,0.30,57312,83.706,89.883,13,116,57312,117
2018,1,4.04,1.90,0.10,0.51,57312,83.706,89.883,13,116,57312,117
2018,1,4.01,2.18,0.30,0.58,57312,83.706,89.883,13,116,57312,117
2018,1,3.83,1.33,0.13,0.38,57312,83.706,89.883,13,116,57312,117
2018,1,3.40,2.79,0.27,0.28,57312,83.706,89.883,13,116,57312,117
2018,1,3.16,2.33,0.50,0.64,57312,83.706,89.883,13,116,57312,117
2018,1,3.02,2.20,0.21,0.71,57312,83.706,89.883,13,116,57312,117
2018,1,3.29,2.57,0.24,0.34,57312,83.706,89.883,13,116,57312,117
2018,1,3.49,2.14,0.16,0.27,57312,83.706,89.883,13,116,57312,117
2018,1,3.11,1.99,0.11,0.70,57312,83.706,89.883,13,116,57312,117
2018,1,3.17,2.32,0.14,0.64,57312,83.706,89.883,13,116,57312,117
2018,1,3.06,2.85,0.10,0.14,57312,83.706,89.883,13,116,57312,117
2018,1,3.24,2.69,0.15,0.27,57312,83.706,89.883,13,116,57312,117
2018,1,3.05,2.17,0.06,0.17,57312,83.706,89.883,13,116,57312,117
2018,1,3.24,2.19,0.12,0.24,57312,83.706,89.883,13,116,57312,117
2018,1,3.38,1.72,0.07,0.42,57312,83.706,89.883,13,116,57312,117
2018,1,3.64,0.98,0.24,1.05,57312,83.706,89.883,13,116,57312,117
2018,1,3.80,0.93,0.50,0.73,57312,83.706,89.883,13,116,57312,117
2018,1,3.33,0.89,0.22,0.67,57312,83.706,89.883,13,116,57312,117
2018,1,3.63,1.53,0.22,0.32,57312,83.706,89.883,13,116,57312,117
2018,1,3.24,2.21,0.29,0.52,57312,83.706,89.883,13,116,57312,117
2018,1,3.18,2.31,0.12,0.36,57312,83.706,89.883,13,116,57312,117
2018,1,2.92,1.54,0.20,0.46,57312,83.706,89.883,13,116,57312,117
2018,1,2.93,1.33,0.16,0.25,57312,83.706,89.883,13,116,57312,117
2018,1,3.03,1.73,0.26,0.60,57312,83.706,89.883,13,116,57312,117
2018,1,3.34,1.21,0.24,0.46,57312,83.706,89.883,13,116,57312,117
2018,1,3.57,0.48,0.13,0.25,57312,83.706,89.883,13,116,57312,117
2018,1,3.55,0.39,0.25,0.42,57312,83.706,89.883,13,116,57312,117
2018,1,3.53,0.58,0.15,0.48,57312,83.706,89.883,13,116,57312,117
2018,1,3.42,1.61,0.37,0.53,57312,83.706,89.883,13,116,57312,117
2018,1,3.21,1.47,0.52,0.49,57312,83.706,89.883,13,116,57312,117
2018,1,3.97,1.41,0.59,0.51,57312,83.706,89.883,13,116,57312,117
2018,1,4.45,1.69,0.58,0.88,57312,83.706,89.883,13,116,57312,117
2018,1,4.76,2.22,0.28,0.42,57312,83.706,89.883,13,116,57312,117
2018,1,4.42,2.51,0.18,0.40,57312,83.706,89.883,13,116,57312,117
2018,1,4.28,0.73,0.29,0.36,57312,83.706,89.883,13,116,57312,117
2018,1,4.46,1.03,0.55,0.38,57312,83.706,89.883,13,116,57312,117
2018,1,3.85,0.91,1.19,0.78,57312,83.706,89.883,13,116,57312,117
2018,1,2.74,0.11,0.42,0.49,57312,83.706,89.883,13,116,57312,117
2018,1,2.23,0.88,0.36,0.61,57312,83.706,89.883,13,116,57312,117
2018,1,2.87,0.93,0.67,0.78,57312,83.706,89.883,13,116,57312,117
2018,1,5.27,1.51,0.92,1.82,57312,83.706,89.883,13,116,57312,117
2018,1,6.51,-0.12,0.21,0.42,57312,83.706,89.883,13,116,57312,117
2018,1,5.96,0.28,0.41,0.85,57312,83.706,89.883,13,116,57312,117
2018,1,5.98,-0.03,0.39,0.51,57312,83.706,89.883,13,116,57312,117
2018,1,6.85,-0.51,2.10,0.54,57312,83.706,89.883,13,116,57312,117
2018,1,13.74,-1.79,1.05,1.34,57312,83.706,89.883,13,116,57312,117
2018,1,13.82,-2.23,1.10,2.81,57312,83.706,89.883,13,116,57312,117
2018,1,14.21,-8.28,1.57,1.56,57312,83.706,89.883,13,116,57312,117
2018,1,13.59,-8.37,0.55,0.99,57312,83.706,89.883,13,116,57312,117
2018,1,13.04,-5.25,1.76,2.99,57312,83.706,89.883,13,116,57312,117
2018,1,14.91,-6.39,1.51,4.30,57312,83.706,89.883,13,116,57312,117
2018,1,17.22,6.56,2.34,5.10,57312,83.706,89.883,13,116,57312,117
2018,1,13.37,7.51,1.92,2.62,57312,83.706,89.883,13,116,57312,117
2018,1,9.83,1.60,1.72,5.88,57312,83.706,89.883,13,116,57312,117
2018,1,10.20,-4.29,1.46,4.03,57312,83.706,89.883,13,116,57312,117
2018,1,12.21,-8.32,0.70,1.40,57312,83.706,89.883,13,116,57312,117
2018,1,11.64,-7.61,1.18,0.96,57312,83.706,89.883,13,116,57312,117
2018,1,9.25,-6.58,0.55,1.40,57312,83.706,89.883,13,116,57312,117
2018,1,8.99,-4.48,1.21,3.06,57312,83.706,89.883,13,116,57312,117
2018,1,9.54,-1.72,1.23,2.17,57312,83.706,89.883,13,116,57312,117
2018,1,10.15,-2.17,1.70,2.33,57312,83.706,89.883,13,116,57312,117
2018,1,11.47,-1.11,1.18,5.17,57312,83.706,89.883,13,116,57312,117
2018,1,9.45,1.56,1.33,2.83,57312,83.706,89.883,13,116,57312,117
2018,1,6.34,2.29,2.37,2.18,57312,83.706,89.883,13,116,57312,117
2018,1,3.46,-2.22,0.95,1.53,57312,83.706,89.883,13,116,57312,117
2018,1,4.47,-2.74,0.23,0.98,57312,83.706,89.883,13,116,57312,117
2018,1,4.51,-2.57,0.22,1.75,57312,83.706,89.883,13,116,57312,117
2018,1,4.23,-2.25,0.17,1.04,57312,83.706,89.883,13,116,57312,117
2018,1,4.05,-2.40,0.21,1.12,57312,83.706,89.883,13,116,57312,117
2018,1,4.02,-2.52,0.16,0.70,57312,83.706,89.883,13,116,57312,117
2018,1,3.78,-2.71,0.19,0.72,57312,83.706,89.883,13,116,57312,117
2018,1,3.44,1.69,0.37,1.64,57312,83.706,89.883,13,116,57312,117
2018,1,3.98,3.09,0.29,0.37,57312,83.706,89.883,13,116,57312,117
2018,1,3.95,3.25,0.13,0.34,57312,83.706,89.883,13,116,57312,117
2018,1,3.48,0.10,0.42,2.60,57312,83.706,89.883,13,116,57312,117
2018,1,3.23,-2.34,0.17,0.90,57312,83.706,89.883,13,116,57312,117
2018,1,3.19,-2.25,0.14,0.50,57312,83.706,89.883,13,116,57312,117
2018,1,3.37,-2.26,0.32,0.45,57312,83.706,89.883,13,116,57312,117
2018,1,2.78,-2.18,0.68,0.95,57312,83.706,89.883,13,116,57312,117
2018,1,2.15,1.18,0.38,1.12,57312,83.706,89.883,13,116,57312,117
2018,1,3.25,2.93,0.40,0.50,57312,83.706,89.883,13,116,57312,117
2018,1,2.96,2.21,0.52,1.49,57312,83.706,89.883,13,116,57312,117
2018,1,2.75,-0.81,0.60,0.81,57312,83.706,89.883,13,116,57312,117
2018,1,4.37,-0.07,0.35,1.40,57312,83.706,89.883,13,116,57312,117
2018,1,4.48,-1.28,0.55,1.78,57312,83.706,89.883,13,116,57312,117
2018,1,3.72,0.92,0.72,2.09,57312,83.706,89.883,13,116,57312,117
2018,1,4.98,-2.31,0.57,1.70,57312,83.706,89.883,13,116,57312,117
2018,1,5.28,-0.86,0.40,2.58,57312,83.706,89.883,13,116,57312,117
2018,1,5.93,5.25,0.14,0.19,57312,83.706,89.883,13,116,57312,117
2018,1,5.95,4.83,0.19,0.33,57312,83.706,89.883,13,116,57312,117
2018,1,5.25,4.05,0.23,0.71,57312,83.706,89.883,13,116,57312,117
2018,1,4.88,3.67,0.40,0.72,57312,83.706,89.883,13,116,57312,117
2018,1,4.22,1.83,0.31,0.79,57312,83.706,89.883,13,116,57312,117
2018,1,3.70,1.17,0.48,0.90,57312,83.706,89.883,13,116,57312,117
2018,1,3.32,1.36,0.28,0.51,57312,83.706,89.883,13,116,57312,117
2018,1,2.94,1.39,0.30,0.56,57312,83.706,89.883,13,116,57312,117
2018,1,3.10,0.35,0.24,0.34,57312,83.706,89.883,13,116,57312,117
2018,1,2.56,0.42,0.35,0.84,57312,83.706,89.883,13,116,57312,117
2018,1,2.55,-0.34,0.42,1.36,57312,83.706,89.883,13,116,57312,117
2018,1,1.93,-0.09,0.62,0.99,57312,83.706,89.883,13,116,57312,117
2018,1,1.85,-0.09,0.38,1.45,57312,83.706,89.883,13,116,57312,117
2018,1,2.41,-2.13,0.34,0.36,57312,83.706,89.883,13,116,57312,117
2018,1,2.77,-2.49,0.18,0.42,57312,83.706,89.883,13,116,57312,117
2018,1,3.00,-2.67,0.16,0.18,57312,83.706,89.883,13,116,57312,117
2018,1,3.08,-2.81,0.15,0.20,57312,83.706,89.883,13,116,57312,117
