year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2016,1,14.67,5.73,0.23,0.75,57276,85.191,89.751,21,248,57275,249
2016,1,13.97,4.67,0.25,0.71,57276,85.191,89.751,21,248,57275,249
2016,1,13.56,2.90,0.10,0.20,57276,85.191,89.751,21,248,57275,249
2016,1,13.21,3.11,0.13,0.21,57276,85.191,89.751,21,248,57275,249
2016,1,12.11,3.39,0.53,0.38,57276,85.191,89.751,21,248,57275,249
2016,1,10.13,3.81,0.24,0.28,57276,85.191,89.751,21,248,57275,249
2016,1,10.97,3.16,0.15,0.57,57276,85.191,89.751,21,248,57275,249
2016,1,9.75,3.24,1.19,1.10,57276,85.191,89.751,21,248,57275,249
2016,1,10.28,6.60,0.21,1.15,57276,85.191,89.751,21,248,57275,249
2016,1,10.26,6.23,0.11,1.01,57276,85.191,89.751,21,248,57275,249
2016,1,8.92,2.66,0.97,2.16,57276,85.191,89.751,21,248,57275,249
2016,1,9.53,2.20,0.45,1.92,57276,85.191,89.751,21,248,57275,249
2016,1,9.54,5.40,0.28,0.82,57276,85.191,89.751,21,248,57275,249
2016,1,9.21,7.05,0.09,0.36,57276,85.191,89.751,21,248,57275,249
2016,1,9.16,7.09,0.06,0.50,57276,85.191,89.751,21,248,57275,249
2016,1,8.87,6.82,0.21,0.56,57276,85.191,89.751,21,248,57275,249
2016,1,8.26,5.19,0.10,0.95,57276,85.191,89.751,21,248,57275,249
2016,1,8.06,5.95,0.10,0.33,57276,85.191,89.751,21,248,57275,249
2016,1,7.00,5.35,0.51,0.59,57276,85.191,89.751,21,248,57275,249
2016,1,5.00,4.21,1.02,1.03,57276,85.191,89.751,21,248,57275,249
2016,1,3.83,2.98,1.03,1.37,57276,85.191,89.751,21,248,57275,249
2016,1,4.66,4.22,0.46,0.32,57276,85.191,89.751,21,248,57275,249
2016,1,6.04,4.14,0.42,0.46,57276,85.191,89.751,21,248,57275,249
2016,1,6.88,4.64,0.58,0.74,57276,85.191,89.751,21,248,57275,249
2016,1,4.51,1.38,2.69,3.68,57276,85.191,89.751,21,248,57275,249
2016,1,9.88,6.20,0.10,0.53,57276,85.191,89.751,21,248,57275,249
2016,1,9.68,5.23,0.10,0.22,57276,85.191,89.751,21,248,57275,249
2016,1,9.28,7.35,0.28,2.16,57276,85.191,89.751,21,248,57275,249
2016,1,8.56,6.59,0.59,1.19,57276,85.191,89.751,21,248,57275,249
2016,1,7.47,4.64,0.30,0.28,57276,85.191,89.751,21,248,57275,249
2016,1,6.13,2.38,1.37,1.80,57276,85.191,89.751,21,248,57275,249
2016,1,5.49,2.54,1.36,0.91,57276,85.191,89.751,21,248,57275,249
2016,1,5.76,3.40,0.78,1.06,57276,85.191,89.751,21,248,57275,249
2016,1,4.83,2.67,1.12,1.17,57276,85.191,89.751,21,248,57275,249
2016,1,3.44,0.18,0.87,1.46,57276,85.191,89.751,21,248,57275,249
2016,1,5.40,-0.48,1.04,1.16,57276,85.191,89.751,21,248,57275,249
2016,1,2.67,-1.53,0.82,1.15,57276,85.191,89.751,21,248,57275,249
2016,1,4.70,-1.75,0.47,1.70,57276,85.191,89.751,21,248,57275,249
2016,1,5.02,-3.59,0.60,0.57,57276,85.191,89.751,21,248,57275,249
2016,1,5.57,-4.84,0.19,0.56,57276,85.191,89.751,21,248,57275,249
2016,1,5.77,-5.46,0.11,0.22,57276,85.191,89.751,21,248,57275,249
2016,1,5.68,-5.02,0.16,0.61,57276,85.191,89.751,21,248,57275,249
2016,1,5.66,-4.91,0.15,0.70,57276,85.191,89.751,21,248,57275,249
2016,1,5.74,-4.80,0.12,0.90,57276,85.191,89.751,21,248,57275,249
2016,1,6.19,-5.34,0.19,0.81,57276,85.191,89.751,21,248,57275,249
2016,1,6.63,-6.48,0.16,0.23,57276,85.191,89.751,21,248,57275,249
2016,1,6.65,-6.29,0.14,0.32,57276,85.191,89.751,21,248,57275,249
2016,1,6.71,-6.30,0.07,0.27,57276,85.191,89.751,21,248,57275,249
2016,1,9999.99,9999.99,9999.99,9999.99,57276,85.191,89.751,21,248,57275,249
2016,1,9999.99,9999.99,9999.99,9999.99,57276,85.191,89.751,21,248,57275,249
