year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2017,1,6.60,-4.47,0.41,1.33,57294,84.716,89.817,17,182,57294,183
2017,1,5.04,-3.43,0.78,1.96,57294,84.716,89.817,17,182,57294,183
2017,1,5.96,-5.26,0.30,0.50,57294,84.716,89.817,17,182,57294,183
2017,1,6.33,-2.16,0.62,3.01,57294,84.716,89.817,17,182,57294,183
2017,1,5.70,-0.40,0.83,2.27,57294,84.716,89.817,17,182,57294,183
2017,1,4.95,-3.69,0.40,0.89,57294,84.716,89.817,17,182,57294,183
2017,1,4.22,-0.18,1.16,2.08,57294,84.716,89.817,17,182,57294,183
2017,1,5.05,-1.50,0.71,1.24,57294,84.716,89.817,17,182,57294,183
2017,1,3.34,-1.78,0.61,0.91,57294,84.716,89.817,17,182,57294,183
2017,1,3.89,-2.80,0.72,1.14,57294,84.716,89.817,17,182,57294,183
2017,1,4.72,1.14,0.53,1.88,57294,84.716,89.817,17,182,57294,183
2017,1,4.47,0.84,0.87,0.69,57294,84.716,89.817,17,182,57294,183
2017,1,3.53,0.75,1.04,1.31,57294,84.716,89.817,17,182,57294,183
2017,1,4.64,3.18,0.78,1.80,57294,84.716,89.817,17,182,57294,183
2017,1,4.70,0.37,0.28,0.65,57294,84.716,89.817,17,182,57294,183
2017,1,3.96,0.74,0.51,1.02,57294,84.716,89.817,17,182,57294,183
2017,1,3.76,0.82,0.80,1.41,57294,84.716,89.817,17,182,57294,183
2017,1,3.03,2.75,0.95,0.91,57294,84.716,89.817,17,182,57294,183
2017,1,3.16,1.96,0.61,0.95,57294,84.716,89.817,17,182,57294,183
2017,1,3.12,0.15,0.46,1.60,57294,84.716,89.817,17,182,57294,183
2017,1,3.41,-1.34,0.27,1.29,57294,84.716,89.817,17,182,57294,183
2017,1,3.83,-3.29,0.13,0.52,57294,84.716,89.817,17,182,57294,183
2017,1,4.00,-3.72,0.19,0.34,57294,84.716,89.817,17,182,57294,183
2017,1,3.38,-2.68,0.34,0.35,57294,84.716,89.817,17,182,57294,183
2017,1,2.51,-2.16,0.58,0.77,57294,84.716,89.817,17,182,57294,183
2017,1,2.58,-1.25,0.87,1.25,57294,84.716,89.817,17,182,57294,183
2017,1,2.96,1.05,0.54,1.45,57294,84.716,89.817,17,182,57294,183
2017,1,3.00,1.40,0.23,1.29,57294,84.716,89.817,17,182,57294,183
2017,1,2.92,-0.04,0.29,0.78,57294,84.716,89.817,17,182,57294,183
2017,1,3.42,-0.72,0.13,0.46,57294,84.716,89.817,17,182,57294,183
2017,1,3.39,0.32,0.23,0.56,57294,84.716,89.817,17,182,57294,183
2017,1,3.44,0.05,0.21,0.48,57294,84.716,89.817,17,182,57294,183
2017,1,3.26,-0.52,0.24,0.62,57294,84.716,89.817,17,182,57294,183
2017,1,3.42,-0.39,0.31,0.73,57294,84.716,89.817,17,182,57294,183
2017,1,4.41,0.56,0.44,1.01,57294,84.716,89.817,17,182,57294,183
2017,1,4.69,-0.23,0.27,1.04,57294,84.716,89.817,17,182,57294,183
2017,1,5.54,0.19,0.36,0.58,57294,84.716,89.817,17,182,57294,183
2017,1,4.47,-0.51,0.17,0.32,57294,84.716,89.817,17,182,57294,183
2017,1,4.65,-1.73,0.31,0.98,57294,84.716,89.817,17,182,57294,183
2017,1,5.02,-3.36,0.14,0.92,57294,84.716,89.817,17,182,57294,183
2017,1,5.24,-3.65,0.14,0.16,57294,84.716,89.817,17,182,57294,183
2017,1,5.29,-3.52,0.21,0.30,57294,84.716,89.817,17,182,57294,183
2017,1,5.61,-3.44,0.13,0.50,57294,84.716,89.817,17,182,57294,183
2017,1,7.10,-5.81,0.53,0.77,57294,84.716,89.817,17,182,57294,183
2017,1,7.05,-6.07,0.27,0.42,57294,84.716,89.817,17,182,57294,183
2017,1,7.46,-6.67,0.29,0.41,57294,84.716,89.817,17,182,57294,183
2017,1,6.64,-5.64,0.44,0.83,57294,84.716,89.817,17,182,57294,183
2017,1,6.07,-5.70,0.33,0.42,57294,84.716,89.817,17,182,57294,183
2017,1,6.31,-5.45,0.30,0.39,57294,84.716,89.817,17,182,57294,183
2017,1,6.07,-4.91,0.35,0.32,57294,84.716,89.817,17,182,57294,183
2017,1,5.42,-0.73,0.36,3.93,57294,84.716,89.817,17,182,57294,183
2017,1,5.55,-2.28,0.43,2.56,57294,84.716,89.817,17,182,57294,183
2017,1,5.59,-3.05,0.38,0.94,57294,84.716,89.817,17,182,57294,183
2017,1,7.11,-4.34,2.03,1.40,57294,84.716,89.817,17,182,57294,183
2017,1,5.69,-0.50,2.13,3.12,57294,84.716,89.817,17,182,57294,183
2017,1,9.54,6.43,1.16,0.68,57294,84.716,89.817,17,182,57294,183
2017,1,10.49,-3.46,0.86,6.65,57294,84.716,89.817,17,182,57294,183
2017,1,6.38,-2.63,2.75,4.04,57294,84.716,89.817,17,182,57294,183
2017,1,4.80,-0.24,1.33,2.37,57294,84.716,89.817,17,182,57294,183
2017,1,5.96,3.90,1.34,1.95,57294,84.716,89.817,17,182,57294,183
2017,1,8.32,5.66,0.42,0.84,57294,84.716,89.817,17,182,57294,183
2017,1,7.91,6.26,0.35,0.94,57294,84.716,89.817,17,182,57294,183
2017,1,7.80,5.84,0.44,1.30,57294,84.716,89.817,17,182,57294,183
2017,1,7.32,4.85,0.62,1.96,57294,84.716,89.817,17,182,57294,183
2017,1,7.52,5.93,0.43,0.58,57294,84.716,89.817,17,182,57294,183
2017,1,7.85,6.27,0.25,0.97,57294,84.716,89.817,17,182,57294,183
2017,1,8.33,5.40,0.33,0.47,57294,84.716,89.817,17,182,57294,183
2017,1,9.12,5.99,0.73,0.64,57294,84.716,89.817,17,182,57294,183
2017,1,8.76,4.81,1.11,2.04,57294,84.716,89.817,17,182,57294,183
2017,1,7.85,5.22,0.44,0.75,57294,84.716,89.817,17,182,57294,183
2017,1,7.71,5.14,0.19,0.62,57294,84.716,89.817,17,182,57294,183
2017,1,7.48,2.94,0.26,2.17,57294,84.716,89.817,17,182,57294,183
2017,1,7.13,5.27,0.84,1.40,57294,84.716,89.817,17,182,57294,183
2017,1,7.43,3.72,0.83,0.66,57294,84.716,89.817,17,182,57294,183
2017,1,7.53,3.93,0.77,1.80,57294,84.716,89.817,17,182,57294,183
2017,1,7.57,5.28,1.33,1.17,57294,84.716,89.817,17,182,57294,183
2017,1,13.33,0.86,1.46,8.22,57294,84.716,89.817,17,182,57294,183
2017,1,13.65,2.69,0.31,5.19,57294,84.716,89.817,17,182,57294,183
2017,1,11.62,5.75,0.93,4.20,57294,84.716,89.817,17,182,57294,183
2017,1,11.66,-1.95,0.73,3.15,57294,84.716,89.817,17,182,57294,183
2017,1,9.60,6.47,0.87,3.08,57294,84.716,89.817,17,182,57294,183
2017,1,9.73,7.47,0.75,1.27,57294,84.716,89.817,17,182,57294,183
2017,1,9.73,5.33,0.62,2.40,57294,84.716,89.817,17,182,57294,183
2017,1,10.50,5.17,0.57,3.25,57294,84.716,89.817,17,182,57294,183
2017,1,11.64,9.69,0.16,1.07,57294,84.716,89.817,17,182,57294,183
2017,1,10.14,7.97,1.02,1.52,57294,84.716,89.817,17,182,57294,183
2017,1,8.53,6.85,0.52,1.54,57294,84.716,89.817,17,182,57294,183
2017,1,7.90,5.97,0.61,0.54,57294,84.716,89.817,17,182,57294,183
2017,1,6.89,5.55,0.27,0.62,57294,84.716,89.817,17,182,57294,183
2017,1,6.33,5.92,0.35,0.43,57294,84.716,89.817,17,182,57294,183
2017,1,6.02,4.47,0.54,2.48,57294,84.716,89.817,17,182,57294,183
2017,1,7.03,2.28,0.65,2.03,57294,84.716,89.817,17,182,57294,183
2017,1,8.49,6.05,0.83,1.77,57294,84.716,89.817,17,182,57294,183
2017,1,8.60,4.97,0.47,2.26,57294,84.716,89.817,17,182,57294,183
2017,1,8.84,3.90,0.20,0.60,57294,84.716,89.817,17,182,57294,183
2017,1,8.44,5.37,0.31,1.96,57294,84.716,89.817,17,182,57294,183
2017,1,8.75,5.77,0.20,0.55,57294,84.716,89.817,17,182,57294,183
2017,1,8.99,5.90,0.22,0.67,57294,84.716,89.817,17,182,57294,183
2017,1,9.59,7.60,0.42,0.60,57294,84.716,89.817,17,182,57294,183
2017,1,7.67,6.08,1.80,1.72,57294,84.716,89.817,17,182,57294,183
2017,1,5.48,1.32,1.09,3.08,57294,84.716,89.817,17,182,57294,183
2017,1,5.74,3.99,0.55,1.95,57294,84.716,89.817,17,182,57294,183
2017,1,6.04,4.49,0.41,1.23,57294,84.716,89.817,17,182,57294,183
2017,1,6.38,5.48,0.74,1.92,57294,84.716,89.817,17,182,57294,183
2017,1,6.61,2.84,0.65,2.37,57294,84.716,89.817,17,182,57294,183
2017,1,6.45,4.70,0.46,2.28,57294,84.716,89.817,17,182,57294,183
2017,1,5.96,4.64,0.92,2.32,57294,84.716,89.817,17,182,57294,183
2017,1,8.06,-3.73,1.57,2.33,57294,84.716,89.817,17,182,57294,183
2017,1,6.40,-2.36,1.24,2.65,57294,84.716,89.817,17,182,57294,183
2017,1,7.81,2.83,1.05,4.19,57294,84.716,89.817,17,182,57294,183
2017,1,9.26,7.18,0.67,1.21,57294,84.716,89.817,17,182,57294,183
2017,1,10.17,6.28,1.03,3.03,57294,84.716,89.817,17,182,57294,183
2017,1,9.82,5.68,0.58,2.69,57294,84.716,89.817,17,182,57294,183
2017,1,9.86,9.02,0.42,1.13,57294,84.716,89.817,17,182,57294,183
2017,1,9.19,7.02,0.50,1.68,57294,84.716,89.817,17,182,57294,183
2017,1,9.79,7.44,0.43,2.97,57294,84.716,89.817,17,182,57294,183
2017,1,9.29,4.91,1.21,4.11,57294,84.716,89.817,17,182,57294,183
2017,1,9.60,3.09,2.05,2.19,57294,84.716,89.817,17,182,57294,183
2017,1,5.44,1.83,0.34,2.05,57294,84.716,89.817,17,182,57294,183
2017,1,4.91,3.28,0.38,0.89,57294,84.716,89.817,17,182,57294,183
2017,1,4.65,2.65,0.62,1.33,57294,84.716,89.817,17,182,57294,183
2017,1,4.16,1.33,0.43,2.52,57294,84.716,89.817,17,182,57294,183
2017,1,3.98,1.92,0.68,2.24,57294,84.716,89.817,17,182,57294,183
2017,1,4.56,0.46,0.30,1.85,57294,84.716,89.817,17,182,57294,183
2017,1,4.54,0.01,0.27,1.99,57294,84.716,89.817,17,182,57294,183
